12/04/2024 05:57:54 AM : root         : INFO     :  ******** Users_Module (Order - 4) Begin ********
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger IL - KIL
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger MN - KMN
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger WI - KWI
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger US West - USWEST
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger AZ - KAZ
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger CA - KCA
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger Los Angeles - KLA
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13-vm
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : select region : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Enter Email : divya.goli@facefirst.com
12/04/2024 05:58:16 AM : root         : INFO     : Select time zone : Asia/Kolkata
12/04/2024 05:58:17 AM : root         : INFO     : entered explicit wait for 5
12/04/2024 05:58:17 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:17 AM : root         : INFO     : click on save button
12/04/2024 05:58:19 AM : root         : INFO     : entered explicit wait for 5
12/04/2024 05:58:19 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:19 AM : root         : INFO     : Success Msg is visible : True
12/04/2024 05:58:20 AM : root         : INFO     : Ex success Msg : Success! A user has been created.
12/04/2024 05:58:20 AM : root         : INFO     : Ac success Msg : UserName already exists.
12/04/2024 05:58:23 AM : root         : INFO     : Ex Username : operator25
12/04/2024 05:58:23 AM : root         : INFO     : Ac Username : operator25
12/04/2024 05:58:23 AM : root         : INFO     : Ex Status : [True, True, True]
12/04/2024 05:58:23 AM : root         : INFO     : Ac Status : [False, True, True]
12/04/2024 05:58:27 AM : root         : INFO     : entered explicit wait for 8
12/04/2024 05:58:27 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:27 AM : root         : INFO     : click on users on the cloud menu
12/04/2024 05:58:28 AM : root         : INFO     : entered explicit wait for 5
12/04/2024 05:58:28 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:28 AM : root         : INFO     : click on action dropdown
12/04/2024 05:58:29 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:29 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:29 AM : root         : INFO     : click on create user option
12/04/2024 05:58:31 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:31 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:31 AM : root         : INFO     : Enter Username : responder10
12/04/2024 05:58:31 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:31 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:31 AM : root         : INFO     : Enter first name : reponder
12/04/2024 05:58:31 AM : root         : INFO     : Enter Last name : user
12/04/2024 05:58:31 AM : root         : INFO     : Select user role : 4. RESPONDER
12/04/2024 05:58:31 AM : root         : INFO     : Enter new password : Right_1r1s
12/04/2024 05:58:31 AM : root         : INFO     : Enter confirm password : Right_1r1s
12/04/2024 05:58:31 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:31 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:34 AM : root         : INFO     : Kroger International - KCORP
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger Mexico - KMX
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger MX East - MXEAST
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger MX North - MXNORTH
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger MX South - MXSOUTH
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger MX West - MXWEST
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger USA - KUSA
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger US East - USEAST
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger NJ - KNJ
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger NY - KNY
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger Brooklyn - KBK
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger Manhattan - KMH
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger Queens - KQS
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger PA - KPA
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger US MidWest - USMIDWEST
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger IL - KIL
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger MN - KMN
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger WI - KWI
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger US West - USWEST
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger AZ - KAZ
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger CA - KCA
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Kroger Los Angeles - KLA
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13-vm
12/04/2024 05:58:34 AM : root         : INFO     : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : select region : sceedge13
12/04/2024 05:58:34 AM : root         : INFO     : Enter Email : divya.goli@facefirst.com
12/04/2024 05:58:34 AM : root         : INFO     : Select time zone : Asia/Kolkata
12/04/2024 05:58:35 AM : root         : INFO     : entered explicit wait for 5
12/04/2024 05:58:35 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:35 AM : root         : INFO     : click on save button
12/04/2024 05:58:37 AM : root         : INFO     : entered explicit wait for 5
12/04/2024 05:58:37 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:37 AM : root         : INFO     : Success Msg is visible : True
12/04/2024 05:58:37 AM : root         : INFO     : Ex success Msg : Success! A user has been created.
12/04/2024 05:58:37 AM : root         : INFO     : Ac success Msg : UserName already exists.
12/04/2024 05:58:41 AM : root         : INFO     : Ex Username : responder10
12/04/2024 05:58:41 AM : root         : INFO     : Ac Username : responder10
12/04/2024 05:58:41 AM : root         : INFO     : Ex Status : [True, True, True]
12/04/2024 05:58:41 AM : root         : INFO     : Ac Status : [False, True, True]
12/04/2024 05:58:45 AM : root         : INFO     : entered explicit wait for 8
12/04/2024 05:58:45 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:45 AM : root         : INFO     : click on users on the cloud menu
12/04/2024 05:58:46 AM : root         : INFO     : entered explicit wait for 5
12/04/2024 05:58:46 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:46 AM : root         : INFO     : click on action dropdown
12/04/2024 05:58:47 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:47 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:47 AM : root         : INFO     : click on create user option
12/04/2024 05:58:48 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:48 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:49 AM : root         : INFO     : Enter Username : approver10
12/04/2024 05:58:49 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:49 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:49 AM : root         : INFO     : Enter first name : user
12/04/2024 05:58:49 AM : root         : INFO     : Enter Last name : approver
